id,name,type,abv,description,image
279,'Elemakule Tiki Bitters,Bitters,45,"",""
36,Agave Syrup,Syrup,0,"",""
111,Agavero,Tequila,32,"",""
101,Aged Cachaça,Rum,40,"",""
85,Aged Gin,Gin,40,"",""
345,Allspice,Herbs & Spices,0,"",""
165,Allspice Dram,Liqueur,22,"",""
406,Almond Extract,Other,0,"",""
187,Amaretto,Liqueur,28,"",""
258,Amaro Abano,Amaro,30,"",""
260,Amaro Braulio,Amaro,21,"",""
261,Amaro CioCiaro,Amaro,30,"",""
253,Amaro del Capo,Amaro,35,"",""
252,Amaro del Sole Vittone,Amaro,30,"",""
251,Amaro dell'Erborista,Amaro,21,"",""
262,Amaro di Angostura,Amaro,35,"",""
219,Amaro Galliano,Aperitif,24,"",""
256,Amaro Lazzaroni,Amaro,25,"",""
257,Amaro Lucano,Amaro,28,"",""
249,Amaro Meletti,Amaro,32,"",""
248,Amaro Montenegro,Amaro,23,"",""
250,Amaro Nardini,Amaro,31,"",""
1,Amaro Nonino,Amaro,35,"",""
259,Amaro Ramazzotti,Amaro,30,"",""
267,Amaro Sfumato Rabarbaro,Amaro,20,"",""
254,Amaro Sibilla,Amaro,34,"",""
138,Amber Beer,Beer,5,"",""
197,Amber Vermouth,Vermouth,17,"",""
223,Amer Picon,Aperitif,21,"",""
209,Amontillado Sherry,Wine,17,"",""
5,Angostura Bitters,Bitters,45,"",""
183,Anisette,Liqueur,45,"",""
2,Aperol,Aperitif,11,"",""
123,Apple Brandy,Brandy,40,"",""
388,Apple Juice,Juice,0,"",""
124,Applejack,Brandy,40,"",""
129,Apricot Eau de Vie,Brandy,40,"",""
175,Apricot Liqueur,Liqueur,17,"",""
329,Apricot Nectar,Syrup,0,"",""
118,Aquavit,Aquavit,40,"",""
365,Aranciata,Soda,0,"",""
122,Armagnac,Brandy,40,"",""
6,Aromatic Bitters,Bitters,40,"",""
102,Arrack,Rum,70,"",""
247,Averna,Amaro,30,"",""
225,Avèze,Aperitif,20,"",""
115,Baijiu,Baijiu,50,"",""
372,Baking Soda,Other,0,"",""
384,Balsamic Vinegar,Other,0,"",""
371,Bar Sugar,Sweetener,0,"",""
397,Barbecue Sauce,Other,0,"",""
103,Batavia Arrack,Rum,50,"",""
269,Becherovka,Amaro,38,"",""
131,Beer,Beer,5,"",""
166,Bénédictine,Liqueur,40,"",""
200,Black Port,Wine,18,"",""
93,Black Rum,Rum,40,"",""
419,Blackberry,Fruit,0,"",""
334,Blackberry Syrup,Syrup,0,"",""
64,Blended Scotch Whisky,Whiskey,40,"",""
280,Blood Orange Juice,Juice,0,"",""
25,Blue Curaçao,Liqueur,30,"",""
14,Blueberry,Fruit,0,"",""
272,Bokers Bitters,Bitters,31.5,"",""
238,Bonal Gentiane Quina,Aperitif,16,"",""
22,Botanical Gin,Gin,40,"",""
65,Bourbon Whiskey,Whiskey,40,"",""
