id,recipe_id,ingredient_id,quantity,unit,garnish,recommended
4,1,3,0.5,oz,0,""
5,1,7,2,dash,0,""
2,1,43,1,oz,0,""
1,1,61,2,oz,0,""
3,1,162,0.5,oz,0,""
8,2,369,1,oz,0,""
7,2,415,1,oz,0,""
6,2,416,1,oz,0,""
9,3,3,1.5,oz,0,""
11,3,12,1.5,oz,0,""
10,3,417,2,oz,0,""
14,4,125,1,oz,0,""
13,4,175,1,oz,0,""
12,4,416,1,oz,0,""
17,5,30,0.5,oz,0,""
16,5,42,0.5,oz,0,""
26,5,379,1,whole,1,""
15,5,416,1.5,oz,0,""
18,6,159,0.5,oz,0,""
19,6,161,0.5,oz,0,""
20,6,163,0.5,oz,0,""
25,7,18,1,twist,1,""
24,7,18,1,wedge,1,""
23,7,41,2,tsp,0,""
22,7,43,0.75,oz,0,""
21,7,57,1.5,oz,0,Bacardi
30,8,43,0.25,oz,0,""
27,8,89,1.5,oz,0,""
31,8,151,1,oz,0,""
28,8,181,0.5,oz,0,""
29,8,286,1.5,oz,0,""
35,9,18,1,wheel,1,""
32,9,63,2,oz,0,""
33,9,286,3,oz,0,""
34,9,287,3,oz,0,""
36,10,154,4,oz,0,""
37,10,418,2,oz,0,""
38,11,9,1,oz,0,""
42,11,17,1,twist,1,""
40,11,34,1,oz,0,""
41,11,42,0.25,oz,0,""
39,11,57,1,oz,0,""
43,12,63,2,oz,0,""
44,12,158,1,oz,0,""
47,13,42,0.5,oz,0,""
50,13,47,2,dash,0,""
45,13,63,1.5,oz,0,""
46,13,303,3,oz,0,""
49,13,391,2,dash,0,""
48,13,395,2,dash,0,""
56,14,17,1,slice,1,""
52,14,42,0.75,oz,0,""
53,14,50,0.5,oz,0,""
51,14,81,2,oz,0,""
54,14,170,0.75,oz,0,""
55,14,419,2,whole,1,""
58,15,18,4,wedge,0,""
57,15,100,1.75,oz,0,""
59,15,408,2,tsp,0,""
63,16,20,1,wheel,1,""
61,16,45,3,dash,0,""
60,16,151,3,oz,0,""
62,16,371,1,cube,0,""
64,16,379,1,whole,1,""
66,17,42,0.5,oz,0,""
67,17,333,0.5,oz,0,""
65,17,416,1.5,oz,0,""
68,17,420,1,whole,0,""
73,18,18,1,wheel,1,""
70,18,34,0.5,oz,0,""
71,18,43,0.5,oz,0,""
69,18,114,1.5,oz,0,""
72,18,287,1,oz,0,""
77,19,18,1,wedge,1,""
75,19,38,3,oz,0,""
76,19,43,0.25,oz,0,""
74,19,57,1.25,oz,0,""
81,20,18,1,wedge,1,""
79,20,43,1,oz,0,""
80,20,50,0.75,oz,0,""
78,20,57,2,oz,0,""
84,21,18,1,wedge,1,""
83,21,40,4,oz,0,""
82,21,93,2,oz,0,""
88,22,19,1,leaf,1,""
87,22,19,2,leaf,0,""
86,22,277,2,dash,0,""
85,22,416,2,oz,0,""
92,23,4,0.25,oz,0,""
90,23,12,0.75,oz,0,""
89,23,65,1.5,oz,0,""
91,23,220,0.25,oz,0,""
94,24,38,6,oz,0,""
93,24,243,2,oz,0,""
96,25,42,0.5,oz,0,""
98,25,50,0.5,oz,0,""
95,25,151,2,oz,0,""
97,25,416,1,oz,0,""
101,26,18,1,wedge,0,""
100,26,54,2,oz,1,""
99,26,416,2,oz,0,""
102,27,72,1,oz,0,""
103,27,187,1,oz,0,""
104,28,63,1,oz,0,""
105,28,187,1,oz,0,""
107,29,34,1,oz,0,""
108,29,45,1,oz,0,""
106,29,181,1,oz,0,""
109,29,369,0.5,oz,0,""
114,30,17,1,twist,1,""
111,30,30,0.33,oz,0,""
112,30,42,0.33,oz,0,""
110,30,83,1.33,oz,0,""
113,30,271,2,dash,0,""
115,30,379,1,whole,1,""
116,31,9,1.25,oz,0,""
117,31,186,1.25,oz,0,""
119,32,42,1,oz,0,""
121,32,51,2.75,oz,0,""
120,32,306,1,tsp,0,""
118,32,416,1.5,oz,0,""
122,33,169,1,oz,0,""
124,33,369,1,oz,0,""
123,33,415,1,oz,0,""
128,34,20,1,wheel,1,""
127,34,45,3,oz,0,""
125,34,63,1.5,oz,0,""
126,34,181,0.5,oz,0,""
129,34,379,1,whole,1,""
132,35,39,0.5,oz,0,""
133,35,43,0.5,oz,0,""
130,35,57,2,oz,0,""
131,35,282,1.33,oz,0,""
136,36,5,1,dash,0,""
141,36,5,1,dash,1,""
134,36,8,1.5,oz,0,""
137,36,42,1,peel,1,""
135,36,352,4.5,oz,0,""
145,37,30,1,tsp,0,""
146,37,43,0.75,oz,0,""
147,37,50,0.5,oz,0,""
142,37,59,1,oz,0,""
143,37,94,0.5,oz,0,""
144,37,317,0.5,oz,0,""
148,37,420,1,whole,0,""
151,38,3,0.75,oz,0,""
154,38,18,1,twist,1,""
153,38,30,0.25,oz,0,""
150,38,43,1,oz,0,""
152,38,46,0.5,oz,0,""
149,38,58,1,oz,0,""
